Input 1		Input 2	
X(None)	Y(None)	X(None)	Y(None)
88	6.91691712446016e-92	88	0.247085248328883
110	2.50166522332714e-38	110	0.252685546875
132	3.3835110780645e-13	132	0.252685546875
154	0.00160074476269028	154	0.252685546875
176	0.217449107186282	176	0.252686158805499
198	0.252667247206517	198	0.274180524212085
220	0.252685546145233	220	0.408890689867803
242	0.252685546874991	242	0.500169771900166
264	0.252685546875	264	0.502929427248471
286	0.252685546875	286	0.502929700278284
308	0.252685546906075	308	0.502941060709371
330	0.252685722562415	330	0.503714771904887
352	0.252757487061083	352	0.51651282009196
374	0.256034538839101	374	0.57800278861717
396	0.282347168500053	396	0.672216011904011
418	0.341402838630081	418	0.735115423879268
440	0.409306788407968	440	0.776238043491012
462	0.468545947796728	462	0.822883023314872
484	0.494823233781851	484	0.873737020003559
506	0.501791699638885	506	0.918741390953936
528	0.502836359663984	528	0.950402536157949
550	0.502925508370877	550	0.969782219207157
572	0.502937326652071	572	0.981101899876918
594	0.502998099328869	594	0.987874103784756
616	0.503446065672508	616	0.991745498306374
638	0.505088400642862	638	0.99402891117341
660	0.509765715690667	660	0.995423510649544
22	0	22	0
44	0	44	2.21994320638408e-220
66	2.95674886525939e-181	66	2.09673051671805e-15
88	5.3154661496722e-75	88	0.252685546875
110	6.13698082253316e-25	110	0.252685546875
132	8.97447124864715e-6	132	0.252685546875
154	0.197285550715411	154	0.252685548438978
176	0.252683010682136	176	0.271424723647268
198	0.252685546873733	198	0.427803873870005
220	0.252685546875	220	0.502742319120555
242	0.252685546875	242	0.502929687450681
264	0.252685546875	264	0.50292971555734
286	0.252685547129016	286	0.50297959300379
308	0.252689614186818	308	0.507334838372818
330	0.254099656870892	330	0.562091188348857
352	0.279716704815104	352	0.677687648846891
374	0.348309520760172	374	0.743733200662738
396	0.428413432685072	396	0.783049567942823
418	0.484085909298101	418	0.838698348047823
440	0.500741109599021	440	0.90099317402075
462	0.502842709516196	462	0.947027116044341
484	0.502928149899493	484	0.972319017064086
506	0.502930846291833	506	0.985521279719375
528	0.502952448391304	528	0.991993155920648
550	0.503151990467667	550	0.995239835081359
572	0.50432088561261	572	0.996757385758266
594	0.509228681171725	594	0.997613550840321
616	0.52131068214382	616	0.99796617366665
638	0.54544470536888	638	0.998055646045031
660	0.581114420977391	660	0.997957951825367
22	0	22	0
44	0	44	2.0270207200206e-176
66	5.42927259452054e-163	66	0.0173397118225062
88	4.18343667884692e-57	88	0.252685546875
110	8.33127193858941e-14	110	0.252685546875
132	0.0580989530384871	132	0.252685546875
154	0.252676837744578	154	0.255410169363452
176	0.252685546874976	176	0.409229263152528
198	0.252685546875	198	0.502862762297691
220	0.252685546875	220	0.502929687499997
242	0.252685546875	242	0.502929700600882
264	0.252685547119724	264	0.503024093293702
286	0.252712022173543	286	0.515208849513273
308	0.260482965688776	308	0.6281999676913
330	0.323412413960411	330	0.733627049672325
352	0.41027978778612	352	0.771089169034902
374	0.483054752278373	374	0.82857679479162
396	0.501763106322596	396	0.904313782495081
418	0.502911445555469	418	0.957261128501856
440	0.502929584852956	440	0.98232945440341
462	0.502930047411663	462	0.992166771710148
484	0.502944023804274	484	0.996266915979014
506	0.50321342286886	506	0.997951279747573
528	0.505254735971441	528	0.998622216859199
550	0.513743290117468	550	0.998902446686384
572	0.537519611957798	572	0.99882814378141
594	0.57819651315157	594	0.998622594299307
616	0.627632867513567	616	0.997148024207953
638	0.677500925116799	638	0.997836363711546
660	0.71929855300369	660	0.747314453125
22	0	22	0
44	0	44	3.78746429445852e-130
66	1.45157091877034e-142	66	0.25268521101551
88	3.38722062529257e-40	88	0.252685546875
110	5.83215014547205e-6	110	0.252685546875
132	0.250995416357359	132	0.252685782071636
154	0.252685546874829	154	0.357010597416574
176	0.252685546875	176	0.502290534656677
198	0.252685546875	198	0.502929687499999
220	0.252685546875	220	0.50292968817873
242	0.252685546902355	242	0.502985931092964
264	0.252722587701693	264	0.521484524344791
286	0.270610561120666	286	0.674768057520478
308	0.356139131243538	308	0.752842488602188
330	0.455391791556361	330	0.790891259228744
352	0.499802095976291	352	0.875445573209149
374	0.502901832778989	374	0.950071743649424
396	0.502929663036212	396	0.983696927141976
418	0.502929703126103	418	0.994633467003864
440	0.502932412729253	440	0.997986025892116
462	0.503053960552464	462	0.999048934198324
484	0.504738017284385	484	0.999409792410541
506	0.515585021351056	506	0.999512958150472
528	0.546266170302948	528	0.999391319522361
550	0.599162938337219	550	0.998890307628929
572	0.661330107056408	572	0.99539323464309
594	0.709737760097071	594	0.747314453125
616	0.747178286810495	616	0.931779615757222
638	0.776991601944327	638	0.931599009927473
660	0.808373716718481	660	0.747314453125
22	0	22	0
44	0	44	1.08763795497083e-85
66	4.80698722957774e-121	66	0.252685546875
88	1.43777907180586e-25	88	0.252685546875
110	0.0489019795068654	110	0.252685546875
132	0.252685543396047	132	0.267131452774203
154	0.252685546875	154	0.482024700868773
176	0.252685546875	176	0.502929687496226
198	0.252685546875	198	0.502929687500684
220	0.252685546875205	220	0.502937121867513
242	0.252697277667964	242	0.517317534395009
264	0.274017623110272	264	0.692276578078326
286	0.374840750496741	286	0.758323678117712
308	0.477837136511258	308	0.8053871454416
330	0.502515839581522	330	0.909982445408648
352	0.502929373173794	352	0.973829795312148
374	0.502929687522734	374	0.993791570209798
396	0.502929730446464	396	0.99838271170324
418	0.502942226048091	418	0.999456854328773
440	0.503516645466292	440	0.99973580491802
462	0.510844541138466	462	0.999806160919516
484	0.540850714966663	484	0.999751096482838
506	0.603332857634168	506	0.999441759210504
528	0.671834986515715	528	0.995809177767225
550	0.724938511662242	550	0.747314453125
572	0.758207017142665	572	0.931734610334827
594	0.78787949160936	594	0.931540123382079
616	0.821580376904579	616	0.99783077569076
638	0.861573819571791	638	0.992156907022541
660	0.899851277040514	660	0.989970121423498
44	1.15252327410886e-160	44	8.66891275676617e-160
88	4.73453426801454e-81	88	7.37443601561714e-78
132	9.64556170593594e-54	132	8.41772157993323e-50
176	1.726164956158e-40	176	1.36887002788626e-36
